id,recipe_id,ingredient_id
0,0,87
1,0,1923
2,0,3725
3,0,5021
4,0,1214
5,0,2496
6,0,3621
7,1,2392
8,1,3013
9,1,3985
10,1,5047
11,1,3985
12,1,3405
13,1,4898
14,1,2752
15,1,3985
16,1,2515
17,1,3929
18,2,281
19,2,3527
20,2,4079
21,2,4016
22,3,3884
23,3,501
24,3,3639
25,3,5504
26,3,3975
27,3,3929
28,4,4302
29,4,3929
30,4,198
31,4,3613
32,4,2791
33,5,832
34,5,3439
35,5,2380
36,5,1186
37,5,5683
38,5,3975
39,5,1455
40,5,1656
41,5,5249
42,6,878
43,6,4110
44,6,1214
45,6,1010
46,6,198
47,6,4505
48,6,4748
49,6,4629
50,6,4030
51,6,5353
52,6,2044
53,6,3314
54,7,784
55,7,1455
56,7,4767
57,7,4505
58,7,4748
59,7,4923
60,7,3025
61,7,3821
62,7,198
63,8,1596
64,8,1353
65,8,193
66,8,2303
67,8,4183
68,8,4895
69,8,96
70,8,3431
71,8,2884
72,8,834
73,9,2496
74,9,1455
75,9,2729
76,9,4296
77,9,4891
78,9,5529
79,9,4737
80,9,3667
81,9,3891
82,9,1328
83,9,4108
84,9,5455
85,9,3674
86,9,3409
87,9,1138
88,10,2469
89,10,2147
90,10,1390
91,10,2947
92,10,4156
93,10,2561
94,10,4162
95,10,2496
96,11,5056
97,11,3929
98,11,4156
99,11,784
100,11,3323
101,11,1036
102,11,3767
103,11,5008
104,11,198
105,11,4447
106,11,2737
107,12,3471
108,12,3554
109,12,3750
110,12,2589
111,12,838
112,12,3821
113,12,1186
114,13,3363
115,13,3003
116,13,1455
117,13,4156
118,13,4705
119,13,3592
120,13,1988
121,13,1757
122,13,724
123,14,4324
124,14,3471
125,15,4890
126,15,1774
127,15,2426
128,15,2791
129,15,3800
130,15,5249
131,15,2597
132,15,3636
133,15,2634
134,16,2496
135,16,1113
136,16,80
137,16,3232
138,16,1961
139,16,1264
140,16,3040
141,16,1478
142,16,501
143,16,1228
144,17,2724
145,17,4322
146,17,914
147,17,3767
148,17,5380
149,17,3456
150,17,5164
151,17,4618
152,17,198
